Type,Model,Precision,Recall,F1-score
ML/DL,Naive (majority),0.3989,0.5000,0.4428
ML/DL,RF,0.6810,0.6869,0.6423
ML/DL,cBOSS,0.7472,0.6653,0.6832
ML/DL,KNNeucli,0.7067,0.6772,0.6908
ML/DL,Rise,0.7783,0.7141,0.7195
ML/DL,TimeSeriesForest,0.7385,0.7294,0.7216
ML/DL,Minirocket,0.8237,0.7610,0.7692
ML/DL,Arsenal,0.8397,0.7824,0.7990
Fine-tuned,UniTS,0.5486,0.5284,0.5060
Fine-tuned,MOMENT,0.6793,0.8129,0.6146
Fine-tuned,TSPulse,0.7216,0.6517,0.6650
Pre-trained,Energy-TSPulse,-,-,0.7849
